cleaned_description,50.72 section
"The reactor building DP became greater than -0.25"" H20 which rendered secondary containment inoperable due to not meeting SR 3.6.4.1.1. Due to troubleshooting efforts on the reactor building DP loop, the possibility existed that building DP would be affected as a part of the troubleshooting maintenance WO. Required actions of the TS were implemented, adjustments were made to the VR exhaust flow and reactor building DP was brought back into the green band, -0.5"" H20. A system walkdown validated the DP excursion was due to this planned evolution.",['50.72(b)(3)(v)(C)']
"During the OPEX review of Browns Ferry Fire Protection ENS 47374, ""DEFICIENCY IDENTIFIED IN TRANSITION TO PERFORMANCE BASED STANDARD FOR FIRE PROTECTION"", a similar condition was identified at Clinton Power Station. Specifically, at Browns Ferry, the wiring design for the station battery ammeter contains a ""shunt"" in the current flow off the battery. Bolted on the shunt bar are two leads to a current meter in the main control room. The tiny difference in voltage between the two taps on the shunt is enough to deflect the current gauge in the MCR when current flows from the battery thru the shunt. At Brown's Ferry, the ammeter wiring attached to the shunt does not have fuses. If these ammeter wires were grounded, shorted together, or open-circuited, there is no real affect to the battery. However, if one of these ammeter wires shorts to ground, at the same time another DC wire from the opposite polarity on the same battery also shorts to ground, a ground loop thru the unfused ammeter cable could occur. With enough current going thru the cable, the potential exists that a secondary fire in the raceway system could occur wherever the cable is routed. Review of the CPS design identified a similar condition, as no protective devices (fuses) are installed off of the shunts to the Main Control Room ammeters. The DC distribution system is a floating system with no established ground other than the high resistance ground provided through the ground detector. It is designed in this manner to allow the system to withstand one hard ground (zero resistance) with no adverse affect on the operation of any equipment fed from the DC system. If a second ground with low enough resistance is placed on the DC system, the operation of the grounded equipment could be adversely affected. The two ground paths could short around components to prevent them from operating or provide a current path to spuriously operate a piece of equipment. In the case of the Browns Ferry ENS described above, if one ammeter wire shorts to ground (which will be annunciated by the ground detection system), and a second ground develops on the opposite polarity of the same battery, a ground loop thru the unfused ammeter cable could occur. With enough current going thru the cable, the potential exists that a secondary fire in the raceway system could occur wherever the cable is routed. Schematic Diagrams/Drawings E02-1DC99-001 (1A), E02-1DC99-002 (1B), E02-1HP99-209 (1C), and E02-1DC99-003 (1D) were reviewed and confirmed this design configuration. In the Clinton Power Station Updated Final Safety Analysis Report (UFSAR), Appendix F, Safe Shutdown Analysis, Section 1.5, Associated Circuits, describes that: The identification of associated circuits of concern is as follows: -Cables that have a common enclosure with safe shutdown cables and are not electrically protected by circuit breakers or fuses and are not provided with fire stops where they penetrate fire barriers are considered to be safe shutdown cables; however, this condition was not found to exist at Clinton. In summary, the Clinton UFSAR concluded that associated non-safe shutdown cables that are not electrically protected and share a common enclosure with safe shutdown cables do not exist at Clinton. The above scenario would not be in agreement with this statement. As such, this scenario is a violation of UFSAR Appendix F, Section 1.5 statements/commitments for circuit protection. Engineering reviewed the safety design basis for the Station Battery System and found that the design of this system meets all general design criteria and the requirements of IEEE 484 and IEEE 946. Illustrations in IEEE 946 show no fuses installed for a typical ammeter circuit from the battery shunts. Also, the S&L design standard for DC Aux Power Systems (ESC-291) does not specify fusing for the ammeter shunt circuit and references IEEE-946. Therefore, this condition affects CPS compliance to Appendix R and GL 81-12 but does not affect any TS and USAR described limits or functions of the DC auxiliary power system.",['50.72(b)(3)(ii)(B)']
The 125VDC ground was previously documented under IR 1349238. Troubleshooting found that the U1 DG Governor Oil Booster pump had 1ohm to ground.,"['50.72(b)(2)(i)', '50.72(b)(3)(v)(D)']"
"During performance of QCOS 0201-08, REACTOR VESSEL CLASS 1 AND ASSOCIATED CLASS 2 SYSTEM LEAK TEST, under WO 1359196, Programs Engineer assigned to the 3rd and 4th floor of the Drywell identified water coming from the penetration N11B. Insulation was removed for better access. The water was coming from the annulus between the nozzle and the vessel wall. This nozzle is welded on the inside of the vessel, so the actual attachment weld could not be seen. The water was leaving the penetration at approximately 60 dpm. Some corrosion (no wastage) was observed on the Reactor Pressure Vessel directly above the nozzle. No leakage was found at the corresponding N11A nozzle.",['50.72(b)(3)(ii)(A)']
wo 1334414-01 (01/21/2012) removed the heads on the B control HX. Ir 01389491 found a leak on the west head on 07/17/2012. This meets the criteria for possible rework in MA-AA-716-017,['50.72(b)(3)(v)(D)']
"The Shift Manager reviewed video of camera inspections conducted inside the ""A"" D-ring. It was determined that a non-insolable RCS leak was identified at the Pressurizer lower heater bundle. ""If any reactor coolant leakage exists through a nonisolable fault in an RCS strength boundary such as the reactor vessel, piping, valve body, etc., except the steam generator tubes, the reactor shall be shutdown, and a cooldown to the cold shutdown condition shall be initiated within 24 hours of detection.""",['50.72(b)(2)(i)']
Received 2B DG Engine Trouble alarm. The Rounds EO reported that while blowing down the 2B DG Starting air receiver she received an alarm and the starting air compressor for the A Starting air system started. The EO called again to report that air pressure was continuing to slowly drop and the lowest pressure received was 150 psig. Shortly after this the compressor restored pressure above 200 PSIG.,['50.72(b)(3)(v)(D)']
"ERAT and ERAT SVC Tripped:
22:04 - Loss of the ERAT. Fire Protection Deluge activated and A & B Fire Pumps Started. 4160 Bus 1A1 was being powered from the ERAT and transferred to the RAT.
22:05 - Entered EOP-8 due to Secondary Containment D/P. VF Tripped.
22:16 - Notified Rich and Bob at Ameren Dispatch that the ERAT has tripped.
22:18 - Started VG 'A'. Secondary Containment restored.
22:31 - Received report from Area Operator no signs of fire, damage at ERAT.
22:32 - 9082.01 Completed.

During momentary loss of power to 4160V 1A1 bus, FC pump A tripped, the fission product monitor isolated, VF isolation dampers lost power and closed. Following Annunciators received for the ERAT trip:
5010-1A: AUTO TRIP SWITCHER
5010-4E: LOCKOUT TRIP EMER RES AUX TRANSF PROT SYS S
5010-5F: SUDDEN PRESS EMERG RES AUX TRANSFORMER
5010-6F: TROUBLE EMERG RES AUX TRANSFORMER
5011-5G: LOCKOUT TRIP BUS 1ET4 PROT SYS S
5011-8E: ERAT SVC TRIP
5011-8F: ERAT SVC TROUBLE","['50.72(b)(3)(v)(B)', '50.72(b)(3)(v)(C)']"
"An employee was the non-contaminated runner for WO 1416167. The employee was asked to retrieve equipment from the Reactor Building 3rd Floor Weld Shop. While returning to the job site, the employee passed through the U2 RB to TB interlock on the 595' level. Employee noted the interlock door light was extinguished and opened the interlock door. Upon opening of the interlock door, employee noted the door to the U2 HRSS Building had swung fully open. At that point the employee latched continued through the interlock. Employee dropped off the tools to the personnel inside of the High Rad Area and immediately contacted the Control Room.",['50.72(b)(3)(v)(C)']
"PERFORMED SO 40D.7.B TO PLACE MCR EMERGENCY VENTILATION IN SERVICE IN PREPARATION FOR THE E-42 LOOP TEST AND 0AV030 FAILED TO AUTO START. 0BV030 AUTO STARTED DUE TO BEING IN ""AUTO-STBY"". 0AV030 CONTROL SWITCH WAS VERIFIED TO BE IN ""AUTO"" PRIOR TO PERFORMING THE PROCEDURE.",['50.72(b)(3)(v)(D)']
