content,subsections
"On August 18, 2014, approximately 14 hours into a 24-hour surveillance test of Emergency Diesel Generator (EDG) 1B, Operators noted cylinder 5L exhaust temperature decreased by 130 degrees Fahrenheit and power indication began oscillating. Operations began an orderly shutdown of EDG 1B. Subsequently, Operators in the diesel room reported an unusual noise, at which time Operations immediately unloaded and stopped EDG 1B. EDG 1B was subsequently repaired and tested satisfactorily. On August 21, 2014, McGuire Unit 1 requested a Notice of Enforcement Discretion (NOED) in anticipation of exceeding TS 3.8.1 ""AC Sources - Operating"" Required Action Completion Time. The NOED was granted by the NRC on the same day. The cause of the EDG 1B cylinder 5L failure is high cycle fatigue of the inlet valve due to the combined effects of three inlet valve train parts which were manufactured outside of original equipment manufacturer (OEM) specified tolerances. Procurement of the applicable parts has been placed on hold until the parts specification is revised.",['10 CFR 50.73(a)(2)(i)(B)']
"On November 18, 2024, at 0830, the 2-01 turbine driven auxiliary feedwater (TDAFW) pump was found in an inoperable condition following a change from Mode 4 to Mode 3 that occurred on 11/17/2024 at 1633. Operations personnel identified that the TDAFW remained uncoupled following maintenance during a Unit 2 refueling outage. Auxiliary feedwater (AFW) is required by Technical Specification (TS) Limiting Condition for Operability (LCO) 3.7.5 to be operable in Modes 1, 2, and 3 with no exception allowed by TS LCO 3.0.4 for mode changes when applicable conditions are not met. The TDAFW was returned to service on November 18, 2024 at 2051. The cause was imprecise work instruction. This cause resulted in an incorrect interpretation of the work and post work testing scope. The applicable Maintenance procedure will be revised to correct the cause.",['10 CFR 50.73(a)(2)(i)(B)']
"On April 23, 2015, following an engineering evaluation, it was determined that during a period of 12 minutes from 14:05 to 14:17 Eastern Daylight Time on March 21, 2015, Emergency Diesel Generators (EDGs) 3 and 4 could potentially have been unable to tie to their respective emergency busses. This was due to relays in breaker control logic that were susceptible to electrical noise from nearby relays de-energizing that could have prevented the output breakers from properly closing under certain conditions. This is considered a loss of safety function of the onsite standby alternating current (AC) power source. Three of four EDGs are required to mitigate an accident on one unit while maintaining the other unit in a safe condition. The cause of EDG 3 and 4 loss of safety function was electrical noise that caused relays to oscillate, preventing the EDG output breakers from remaining closed. A relay model not susceptible to noise interference was installed in EDG 4 breaker control logic on March 22, 2015. A voltage transient suppression device was installed on EDG 3 breaker control logic on March 23, 2015.",['10 CFR 50.73(a)(2)(v)(D)']
"On February 7, 2015, with the reactor in mode 4, an Electromatic Relief Valve (ERV) actuator failed to open during the performance of an extent of condition test. The testing involved an operator manually actuating the ERV from the main control room with operators and engineers staged in the field. However, when the demand signal was given, the 2C actuator plunger did not move and the valve did not open. The cause of this event was determined to be a lack of maintenance procedural guidance to align, determine excessive wear, and characterize wear of the ERV actuator sub-components. Corrective actions involved replacement of all four ERVs with an upgraded design and the development of enhanced inspection/maintenance guidance. This failure was determined to be of very low safety significance because the cause of the failure only existed on one ERV. This event is being reported under ""Any operation or condition which was prohibited by the plant's Technical Specifications"" and ""Any event or condition that could have prevented the fulfilment of the safety function of structures or systems that are needed to mitigate the consequence of an accident.""","['10 CFR 50.73(a)(2)(i)(B)', '10 CFR 50.73(a)(2)(v)(D)']"
"On November 1, 2020, at 0534, Cooper Nuclear Station (CNS) Control Room Operators inserted a manual reactor scram due to low Digital Electro-Hydraulic (DEH) tank level. Further investigation revealed that a leak had developed at governor valve (GV) 1 and a pencil-sized stream of EH fluid was discovered leaking out of the lower outboard inspection port on the GV1 actuator. Investigation revealed one bolt on the actuator inspection port cover plate was bottomed-out and prevented appropriate tightening for an adequate seal. The o-ring on this cover plate was ruptured, allowing excessive leakage. The cause was on-site vendor craftsmanship was unsatisfactory in the failure to recognize the bottomed-out bolt during actuator installation, and inspector port cover plate holes on the new GV1 actuator body were not threaded deep enough to meet vendor specifications. CNS will appropriately classify critical Turbine Generator Fluid connections that are subject to additional verification of bolting and torqueing performance. In addition, CNS will review the final vendor evaluation of the actuator manufacturing defects/field craftsmanship and determine if additional actions are warranted. This event was not risk significant.",['10 CFR 50.73(a)(2)(iv)(A)']
"At 0630 on the morning of April 1, 2014, with James A. FitzPatrick Nuclear Power Plant (JAFNPP) operating at 100 percent power and the ""A"" Emergency Diesel Generator (EDG) subsystem inoperable for maintenance, a control room alarm annunciated indicating a problem with the ""B"" division safety pump room ventilation system. At 0645 a field operator identified the exhaust fan for the ""B"" division safety pump room ventilation system had tripped on thermal overload. Ventilation loss when the pumps are in service would degrade the long-term performance of residual heat removal service water (RHRSW) and emergency service water (ESW) systems; degradation of the ""B"" ESW pump would degrade the performance of the ""B"" EDG subsystem. The overload relay was reset at 0704 and the fan automatically started restoring ventilation; time out of service was thirty-four minutes. The ambient temperature limit in the ""B"" division safety pump room was never challenged. The equipment failure evaluation has determined the preliminary cause of the tripping of the fan to be the weakening of the Bi-Metal trip element that is heated by the current that causes the trip. This component will be replaced and the unit tested to confirm cause.","['10 CFR 50.73(a)(2)(v)(A)', '10 CFR 50.73(a)(2)(v)(D)']"
"On February 27, 2015, during the performance of surveillance procedure 3-PT-R006A, three main steam safety valves (MSSV) (MS-46-2, MS-45-4, and MS-47-4) failed their As-Found lift set point test. Per the test, these valves must lift at +/- 3% of their required setting. During the test, 7 other MSSVs tested passed their As-Found test criteria. Technical Specification (TS) 3.7.1 (Main Steam Safety Valves) requires the MSSVs to be operable in accordance with TS Table 3.7.1-1 and Table 3.7.1-2. Due to the number of failures, during power ascension the remaining MSSVs were tested and two failed (MS-46-2, MS-46-3). MSSV MS-46-2 had previously failed and had maintenance performed therefore the failure was considered a post maintenance test failure. MS-46-3 failed its first lift test by 0.6% but met test lift criteria on the second and third test. TS Surveillance Requirement (SR) 3.7.1.1 requires each MSSV be verified to lift per Table 3.7.1-2 in accordance with the In-service Testing Program. Operability of the MSSVs includes the ability to open within the set point tolerances. The direct cause of the failure of these valves was severely worn spindle rods. The apparent cause for the failure of MS-47-4 and MS-46-2 was internal friction due to spindle vibration. The apparent cause of the failure of MS-45-4 was reuse of a worn spindle. The apparent cause of the failure of MS-46-3 is foreign material. Corrective actions included testing all 20 MSSVs and adjusting their set point to be within +/- 1% of design set pressure. Installed new spindles and bronze wear sleeves on valves MS-46-4, MS-46-2, MS-47-4, MS-48-2, MS-49-2, MS-49-1, MS-49-3, and replaced the spindle on valve MS-45-4. The Unit 3 MSSV test frequency will be changed from 4 years to 2 years until all modifications are implemented and IPEC is confident the issue is resolved. The event had no effect on public health and safety.",['10 CFR 50.73(a)(2)(i)(B)']
"On October 14, 2019, while in Mode 5, both Source Range (SR) Nuclear Instruments (NIs) were inoperable simultaneously. NI-32 was inoperable on October 12 for surveillance testing and was restored by October 15. NI-31 was removed from service to support an emergent maintenance activity on October 14 and was restored the same day. However, NI-31 remained inoperable after restoration due to an invalid indication of a steadily increasing count rate. This issue was not identified until October 15, 2019, when NI-31 failed a channel check. Work was planned to address NI-31 with NI-32 operable. However, on November 8, 2019, while in Mode 6, NI-32 began exhibiting an invalid count increase. This was identified on November 9, 2019, after a failed channel check, and NI-32 was declared inoperable. NI-31 and NI-32 were inoperable simultaneously until NI-32 was repaired on November 9, 2019. NI-31 was repaired November 15, 2019. The cause of NI-31's degraded performance was borated water intrusion into the detector well from overfilling the lower reactor cavity the previous outage. The cause of NI-32's degraded performance was a failed potentiometer.",['10 CFR 50.73(a)(2)(v)(A)']
On August 22  2013 at 1340  while operating at 100% power  during the performance of Surveillance Test Procedure (STP) 3.5.3-02  RCIC System Operability Test  the Reactor Core Isolation Cooling (RCIC) turbine tripped on electronic over-speed immediately upon startup. Subsequent troubleshooting found the RCIC governor controls dropping resistor in the power supply circuit to be partially open. This resulted in less than adequate power supply to the RCIC electronic governor which allowed the RCIC turbine to over-speed and trip on electronic over-speed. The RCIC governor controls dropping resistor was replaced and RCIC was returned to service on August 24  2013 at 0515. A past operability evaluation determined that the RCIC system was inoperable from June 21  2013 to August 23  2013  which is in excess of Technical Specification (TS) 3.5.3 Limiting Condition for Operation Completion Time. Therefore  this event resulted in a Condition Prohibited by TS. The Root Causes of this event were a failed dropping resistor and an inadequate Operability screening of a Condition Report. The safety significance for this event was very low based on fact that RCIC could have been operated in manual as directed by existing procedures.,['10 CFR 50.73(a)(2)(i)(B)']
"A review of plant reactor coolant temperature trends from a planned outage shows that on April 29, 2013, reactor coolant temperature was raised from approximately 135 degrees F to approximately 180 degrees F as a planned evolution. On April 30, 2013, RCS temperature was raised from approximately 180 degrees F to approximately 345 degrees F as a planned evolution. Additionally, on April 30, 2013, plant operations involving water additions to the Volume Control Tank were conducted. A review of the Station Log shows that only one ENI log channel was operable during these evolutions. These evolutions were prohibited by the plant's Technical Specifications under these conditions. TS 3.3.1 Action 4 requires, with only one log power channel operable in Mode 5 or Mode 4, suspending ""all operations involving positive reactivity changes,"" and is clarified by an applicable note which states, ""Limited plant cooldown or boron dilution is allowed provided the change is accounted for in the calculated shutdown margin."" Planned corrective action is to revise the TS bases for TS 3.3.1 to emphasize the limitations for usage of the note applicable to Action 4. The planned heatup and dilution evolutions had no discernable effect on nuclear safety.",['10 CFR 50.73(a)(2)(i)(B)']
